state,timestamp,leading_candidate_name,trailing_candidate_name,leading_candidate_votes,trailing_candidate_votes,leading_candidate_party,trailing_candidate_party,vote_differential,votes_remaining,new_votes,new_votes_relevant,new_votes_formatted,leading_candidate_partition,trailing_candidate_partition,precincts_reporting,precincts_total,hurdle,hurdle_change,hurdle_mov_avg,counties_partition,total_votes_count
House-CA-3,2022-11-15 23:22:52.618000,Kevin Kiley,Kermit Jones,94133,84059,GOP,DEM,10074,143872,7025,7025,"  7,025",0.522135231316726,0.47786476868327404,435,787,0.5350102869217082,0.0026604058770220984,0.4943170286178202,{},178192
House-CA-3,2022-11-15 22:24:17.988000,Kevin Kiley,Kermit Jones,90465,80702,GOP,DEM,9763,150897,66,66,     66,0.8636363636363636,0.13636363636363635,418,787,0.5323498810446861,0.00017312250120193884,0.5351714386709084,{},171167
House-CA-3,2022-11-15 02:08:13.840000,Kevin Kiley,Kermit Jones,90408,80693,GOP,DEM,9715,150963,2763,2763,"  2,763",0.45530220774520447,0.5446977922547955,418,787,0.5321767585434841,-0.00022504726685379506,0.5446977922547955,{},171101
House-CA-3,2022-11-12 16:40:03.243000,Kevin Kiley,Kermit Jones,89150,79188,GOP,DEM,9962,153726,0,0,      0,0,0,413,787,0.5324018058103379,-0.4675981941896621,,{},168338
House-CA-6,2022-11-15 23:22:52.618000,Ami Bera,Tamika Hamilton,68907,52943,DEM,GOP,15964,59235,27686,27686," 27,686",0.5783789640973778,0.4216210359026223,208,309,0.634751413860049,0.06788609937908352,0.4216210359026223,{},121850
House-CA-6,2022-11-12 16:40:03.243000,Ami Bera,Tamika Hamilton,52894,41270,DEM,GOP,11624,86921,0,0,      0,0,0,161,309,0.5668653144809654,-0.43313468551903456,,{},94164
House-CA-9,2022-11-12 16:40:03.243000,Josh Harder,Tom Patti,44513,34595,DEM,GOP,9918,89074,0,0,      0,0,0,393,393,0.5556728113703213,-0.4443271886296787,,{},79108
House-CA-13,2022-11-16 02:07:51.751000,Adam Gray,John Duarte,54881,54533,DEM,GOP,348,21669,7769,7769,"  7,769",0.4734200025743339,0.5265799974256661,414,496,0.5080299044718262,-0.004895566008505381,0.4928666666666667,{},109414
House-CA-13,2022-11-15 03:32:09.496000,Adam Gray,John Duarte,51203,50442,DEM,GOP,761,29438,22335,22335," 22,335",0.5189164987687487,0.4810835012312514,389,496,0.5129254704803315,0.013736704134939215,0.4810835012312514,{},101645
House-CA-13,2022-11-12 16:40:03.243000,John Duarte,Adam Gray,39697,39613,GOP,DEM,84,51773,0,0,      0,0,0,303,496,0.5008112336546077,-0.49918876634539233,,{},79310
House-CA-15,2022-11-12 16:40:03.243000,Kevin Mullin,David Canepa,65447,50650,DEM,DEM,14797,90141,0,0,      0,0,0,168,299,0.5820769683052107,-0.4179230316947893,,{},116097
House-CA-21,2022-11-16 02:07:51.751000,Jim Costa,Michael Maher,55017,44671,DEM,GOP,10346,22763,16376,16376," 16,376",0.599352711284807,0.40064728871519295,408,501,0.7272547555243157,0.13665458689456023,0.41870170887146807,{},99688
House-CA-21,2022-11-15 03:32:09.496000,Jim Costa,Michael Maher,45202,38110,DEM,GOP,7092,39139,1355,1355,"  1,355",0.36309963099630993,0.6369003690036901,383,501,0.5906001686297555,-0.0015492856103788144,0.6369003690036901,{},83312
House-CA-21,2022-11-12 16:40:03.243000,Jim Costa,Michael Maher,44710,37247,DEM,GOP,7463,40494,0,0,      0,0,0,377,501,0.5921494542401343,-0.4078505457598657,,{},81957
House-CA-22,2022-11-16 02:07:51.751000,David Valadao,Rudy Salas,34295,31452,GOP,DEM,2843,40119,8219,8219,"  8,219",0.48704221924808366,0.5129577807519163,342,550,0.5354320895336374,0.0038213485017370985,0.501887606514939,{},65747
House-CA-22,2022-11-15 22:24:17.988000,David Valadao,Rudy Salas,30292,27236,GOP,DEM,3056,48338,171,171,    171,0.47953216374269003,0.52046783625731,299,550,0.5316107410319003,3.928006589404287e-05,0.41539923954372626,{},57528
House-CA-22,2022-11-15 03:32:09.496000,David Valadao,Rudy Salas,30210,27147,GOP,DEM,3063,48509,881,881,    881,0.604994324631101,0.39500567536889897,298,550,0.5315714609660063,0.002436008445253046,0.39500567536889897,{},57357
House-CA-22,2022-11-12 16:40:03.243000,David Valadao,Rudy Salas,29677,26799,GOP,DEM,2878,49390,0,0,      0,0,0,293,550,0.5291354525207532,-0.4708645474792468,,{},56476
House-CA-26,2022-11-13 02:08:06.256000,Julia Brownley,Matt Jacobs,82904,69673,DEM,GOP,13231,103028,586,586,    586,0.629692832764505,0.3703071672354949,748,1253,0.5642107000038824,0.0010966420580449388,0.3703071672354949,{},152577
